encoder_key,resolution,seed,weights_compactness,weights_purity,weights_alignment,class_k,reliability_power,validation_accuracy,validation_nll
siglip2_b16_384,384,7,0.45,0.35,0.2,3,2.0,0.9422727272727273,0.6087392816225555
siglip2_b16_384,384,7,0.45,0.35,0.2,5,0.0,0.9518181818181818,0.6583271479904116
siglip2_b16_384,384,7,0.45,0.35,0.2,5,0.5,0.9495454545454546,0.6512940004647527
siglip2_b16_384,384,7,0.45,0.35,0.2,5,1.0,0.9486363636363636,0.6456538393180367
siglip2_b16_384,384,7,0.45,0.35,0.2,5,2.0,0.9454545454545454,0.6377254858773781
siglip2_b16_384,384,7,0.45,0.35,0.2,10,0.0,0.9495454545454546,0.7062846001646259
siglip2_b16_384,384,7,0.45,0.35,0.2,10,0.5,0.95,0.7005536040510368
siglip2_b16_384,384,7,0.45,0.35,0.2,10,1.0,0.9490909090909091,0.695966964582439
siglip2_b16_384,384,7,0.45,0.35,0.2,10,2.0,0.9445454545454546,0.6895370537802369
siglip2_b16_384,384,17,1.0,0.0,0.0,1,0.0,0.9409090909090909,0.5957371638881889
siglip2_b16_384,384,17,1.0,0.0,0.0,1,0.5,0.9409090909090909,0.5964487015550363
siglip2_b16_384,384,17,1.0,0.0,0.0,1,1.0,0.94,0.5973503622781642
siglip2_b16_384,384,17,1.0,0.0,0.0,1,2.0,0.9372727272727273,0.5997259743107369
siglip2_b16_384,384,17,1.0,0.0,0.0,3,0.0,0.9454545454545454,0.6302852496193596
siglip2_b16_384,384,17,1.0,0.0,0.0,3,0.5,0.9454545454545454,0.631023869570434
siglip2_b16_384,384,17,1.0,0.0,0.0,3,1.0,0.9440909090909091,0.6318983960412073
siglip2_b16_384,384,17,1.0,0.0,0.0,3,2.0,0.9431818181818182,0.6340559462797885
siglip2_b16_384,384,17,1.0,0.0,0.0,5,0.0,0.9468181818181818,0.6587109001675157
siglip2_b16_384,384,17,1.0,0.0,0.0,5,0.5,0.9459090909090909,0.659494404342062
siglip2_b16_384,384,17,1.0,0.0,0.0,5,1.0,0.9463636363636364,0.6604056929676513
siglip2_b16_384,384,17,1.0,0.0,0.0,5,2.0,0.9459090909090909,0.6626121910323541
siglip2_b16_384,384,17,1.0,0.0,0.0,10,0.0,0.9468181818181818,0.7097219518389544
siglip2_b16_384,384,17,1.0,0.0,0.0,10,0.5,0.9463636363636364,0.7105621885094662
siglip2_b16_384,384,17,1.0,0.0,0.0,10,1.0,0.945,0.7115210649443722
siglip2_b16_384,384,17,1.0,0.0,0.0,10,2.0,0.945,0.713794701079197
siglip2_b16_384,384,17,0.0,1.0,0.0,1,0.0,0.9409090909090909,0.5957371638881889
siglip2_b16_384,384,17,0.0,1.0,0.0,1,0.5,0.9409090909090909,0.5684779211933028
siglip2_b16_384,384,17,0.0,1.0,0.0,1,1.0,0.9354545454545454,0.562237920648229
siglip2_b16_384,384,17,0.0,1.0,0.0,1,2.0,0.9240909090909091,0.5773579250689943
siglip2_b16_384,384,17,0.0,1.0,0.0,3,0.0,0.9454545454545454,0.6302852496193596
siglip2_b16_384,384,17,0.0,1.0,0.0,3,0.5,0.9427272727272727,0.6068210073291165
siglip2_b16_384,384,17,0.0,1.0,0.0,3,1.0,0.94,0.5965131480883132
siglip2_b16_384,384,17,0.0,1.0,0.0,3,2.0,0.9259090909090909,0.5908511945670484
siglip2_b16_384,384,17,0.0,1.0,0.0,5,0.0,0.9468181818181818,0.6587109001675157
siglip2_b16_384,384,17,0.0,1.0,0.0,5,0.5,0.9431818181818182,0.6379029727898499
siglip2_b16_384,384,17,0.0,1.0,0.0,5,1.0,0.9386363636363636,0.6284404546186265
siglip2_b16_384,384,17,0.0,1.0,0.0,5,2.0,0.9290909090909091,0.6222773391778792
siglip2_b16_384,384,17,0.0,1.0,0.0,10,0.0,0.9468181818181818,0.7097219518389544
siglip2_b16_384,384,17,0.0,1.0,0.0,10,0.5,0.9427272727272727,0.6928847245690951
siglip2_b16_384,384,17,0.0,1.0,0.0,10,1.0,0.9368181818181818,0.6850712601241513
siglip2_b16_384,384,17,0.0,1.0,0.0,10,2.0,0.93,0.6795325048306484
siglip2_b16_384,384,17,0.0,0.0,1.0,1,0.0,0.9409090909090909,0.5957371638881889
siglip2_b16_384,384,17,0.0,0.0,1.0,1,0.5,0.9409090909090909,0.5952225069760985
siglip2_b16_384,384,17,0.0,0.0,1.0,1,1.0,0.9413636363636364,0.5947569316807081
siglip2_b16_384,384,17,0.0,0.0,1.0,1,2.0,0.9413636363636364,0.5939731617465211
siglip2_b16_384,384,17,0.0,0.0,1.0,3,0.0,0.9454545454545454,0.6302852496193596
siglip2_b16_384,384,17,0.0,0.0,1.0,3,0.5,0.9459090909090909,0.6298729235022422
siglip2_b16_384,384,17,0.0,0.0,1.0,3,1.0,0.9454545454545454,0.6294997503998773
siglip2_b16_384,384,17,0.0,0.0,1.0,3,2.0,0.9463636363636364,0.6288711278078664
siglip2_b16_384,384,17,0.0,0.0,1.0,5,0.0,0.9468181818181818,0.6587109001675157
siglip2_b16_384,384,17,0.0,0.0,1.0,5,0.5,0.9463636363636364,0.6583548065140676
siglip2_b16_384,384,17,0.0,0.0,1.0,5,1.0,0.9463636363636364,0.6580348807636988
siglip2_b16_384,384,17,0.0,0.0,1.0,5,2.0,0.9468181818181818,0.6575038725675021
siglip2_b16_384,384,17,0.0,0.0,1.0,10,0.0,0.9468181818181818,0.7097219518389544
siglip2_b16_384,384,17,0.0,0.0,1.0,10,0.5,0.9472727272727273,0.7093846214756107
siglip2_b16_384,384,17,0.0,0.0,1.0,10,1.0,0.9481818181818182,0.7090805355652287
siglip2_b16_384,384,17,0.0,0.0,1.0,10,2.0,0.9477272727272728,0.708572533585524
siglip2_b16_384,384,17,0.5,0.5,0.0,1,0.0,0.9409090909090909,0.5957371638881889
siglip2_b16_384,384,17,0.5,0.5,0.0,1,0.5,0.9436363636363636,0.5825338293916996
siglip2_b16_384,384,17,0.5,0.5,0.0,1,1.0,0.9409090909090909,0.5731860063113245
siglip2_b16_384,384,17,0.5,0.5,0.0,1,2.0,0.9336363636363636,0.563650879653337
siglip2_b16_384,384,17,0.5,0.5,0.0,3,0.0,0.9454545454545454,0.6302852496193596
siglip2_b16_384,384,17,0.5,0.5,0.0,3,0.5,0.9454545454545454,0.6196253360381375
siglip2_b16_384,384,17,0.5,0.5,0.0,3,1.0,0.9436363636363636,0.6118142355389715
siglip2_b16_384,384,17,0.5,0.5,0.0,3,2.0,0.94,0.6025169932175057
siglip2_b16_384,384,17,0.5,0.5,0.0,5,0.0,0.9468181818181818,0.6587109001675157
siglip2_b16_384,384,17,0.5,0.5,0.0,5,0.5,0.945,0.6493856277709981
siglip2_b16_384,384,17,0.5,0.5,0.0,5,1.0,0.9427272727272727,0.6425415407731573
siglip2_b16_384,384,17,0.5,0.5,0.0,5,2.0,0.9381818181818182,0.6343117097613918
siglip2_b16_384,384,17,0.5,0.5,0.0,10,0.0,0.9468181818181818,0.7097219518389544
siglip2_b16_384,384,17,0.5,0.5,0.0,10,0.5,0.9440909090909091,0.7023022353645207
siglip2_b16_384,384,17,0.5,0.5,0.0,10,1.0,0.9427272727272727,0.6968889174532746
siglip2_b16_384,384,17,0.5,0.5,0.0,10,2.0,0.9354545454545454,0.6904474586112574
siglip2_b16_384,384,17,0.5,0.0,0.5,1,0.0,0.9409090909090909,0.5957371638881889
siglip2_b16_384,384,17,0.5,0.0,0.5,1,0.5,0.9418181818181818,0.5959542574878279
siglip2_b16_384,384,17,0.5,0.0,0.5,1,1.0,0.9409090909090909,0.596249225602939
siglip2_b16_384,384,17,0.5,0.0,0.5,1,2.0,0.9390909090909091,0.5970725020819515
siglip2_b16_384,384,17,0.5,0.0,0.5,3,0.0,0.9454545454545454,0.6302852496193596
siglip2_b16_384,384,17,0.5,0.0,0.5,3,0.5,0.945,0.6305643918856365
siglip2_b16_384,384,17,0.5,0.0,0.5,3,1.0,0.9445454545454546,0.6308981612912911
siglip2_b16_384,384,17,0.5,0.0,0.5,3,2.0,0.9445454545454546,0.6317290592951136
siglip2_b16_384,384,17,0.5,0.0,0.5,5,0.0,0.9468181818181818,0.6587109001675157
siglip2_b16_384,384,17,0.5,0.0,0.5,5,0.5,0.9459090909090909,0.6590407789846352
siglip2_b16_384,384,17,0.5,0.0,0.5,5,1.0,0.9463636363636364,0.6594210536754982
siglip2_b16_384,384,17,0.5,0.0,0.5,5,2.0,0.9463636363636364,0.660332194948916
siglip2_b16_384,384,17,0.5,0.0,0.5,10,0.0,0.9468181818181818,0.7097219518389544
siglip2_b16_384,384,17,0.5,0.0,0.5,10,0.5,0.9472727272727273,0.7100948914600766
siglip2_b16_384,384,17,0.5,0.0,0.5,10,1.0,0.9463636363636364,0.7105139072150174
siglip2_b16_384,384,17,0.5,0.0,0.5,10,2.0,0.9463636363636364,0.7114896477495696
