encoder_key,resolution,seed,method,temperature,nll_uncalibrated,nll,ece_15_uncalibrated,ece_15,confidence_threshold_90pct_validation_coverage,selective_coverage,selective_accuracy,aurc
siglip2_b16_384,384,43,Centroid fused,0.15,1.416974793267616,0.3261543507055099,0.6342360834663398,0.030246640536126954,0.7043591668604874,0.9015151515151515,0.9408403361344538,0.017738389590584318
siglip2_b16_384,384,43,KMeans medoids fused,0.2,1.0629210027013196,0.1888568968788262,0.5836439403384194,0.024498377270642545,0.9230900283237938,0.9054545454545454,0.9795850066934404,0.006314288286388911
siglip2_b16_384,384,43,Facility selection (no reliability) fused,0.2,1.0609348710765154,0.17334103506576812,0.5874642026575064,0.020426844511450805,0.9174141079880911,0.9096969696969697,0.980346435709527,0.005223538897504717
siglip2_b16_384,384,43,EvidenceMem v2 selection fused,0.2,1.050056727661227,0.2605468637019689,0.5696419211411671,0.03918201042789512,0.9657708747932889,0.9036363636363637,0.9738430583501007,0.008927751012216798
siglip2_b16_384,384,43,EvidenceMem v4 global fusion,0.5,0.6685153116800101,0.20636630789051447,0.40537784814723843,0.05337198769314705,0.7225495794740916,0.9078787878787878,0.9803070761014686,0.005190094032439584
siglip2_b16_384,384,43,EvidenceMem v4 class-conditional visual,0.2,0.6552665698080323,0.1737881087120294,0.3798181608037018,0.017029275993182633,0.8886483325131469,0.9057575757575758,0.9809300769488123,0.004636484281296953
siglip2_b16_384,384,43,EvidenceMem v4 fixed fusion,0.2,0.8292905492705038,0.16033119468858487,0.47921616800245365,0.01616042349013858,0.8624153657393017,0.9036363636363637,0.9818913480885312,0.004440025599104681
siglip2_b16_384,384,43,EvidenceMem v4 continuous fusion,0.2,0.8292905492705038,0.16033119468858487,0.47921616800245365,0.01616042349013858,0.8624153657393017,0.9036363636363637,0.9818913480885312,0.004440025599104681
siglip2_b16_384,384,43,Tip-Adapter (matched cache),1.0,0.31031827615714325,0.31031827615714325,0.04050911675528362,0.04050911675528362,0.8083214867117957,0.8978787878787878,0.9537630779615255,0.014496244853688762
siglip2_b16_384,384,61,CLIP zero-shot,0.02,2.348580033338351,0.7524928427365811,0.7839846189837093,0.324947961624787,0.3060153116683117,0.8984848484848484,0.9143338954468803,0.048430636081381775
siglip2_b16_384,384,61,Full kNN,1.0,0.35758902917307667,0.35758902917307667,0.011950978386985587,0.011950978386985587,0.8185022265047955,0.9054545454545454,0.9886211512717537,0.010821963554657778
siglip2_b16_384,384,61,Linear probe,1.0,0.11041394655416507,0.11041394655416507,0.011819357118448323,0.011819357118448323,0.8720905016784811,0.896969696969697,0.9949324324324325,0.0019480554311093043
siglip2_b16_384,384,61,Random memory fused,0.2,1.0804901651479228,0.2955806111787569,0.5615870526307443,0.04338095575798401,0.910360138418479,0.8984848484848484,0.9639123102866779,0.01070704805069967
siglip2_b16_384,384,61,Centroid fused,0.15,1.416974793267616,0.3261543507055099,0.6342360834663398,0.030246640536126954,0.7043591668604874,0.9015151515151515,0.9408403361344538,0.017738389590584318
siglip2_b16_384,384,61,KMeans medoids fused,0.2,1.0657235970264762,0.184930654803773,0.5845757446262486,0.02278560336687386,0.8957817564435615,0.9127272727272727,0.9790836653386454,0.005617655622256031
siglip2_b16_384,384,61,Facility selection (no reliability) fused,1.0,0.46076957801479507,0.46076957801479507,0.024461946415192788,0.024461946415192788,0.7060603176039848,0.9066666666666666,0.9816176470588235,0.01740431854500765
siglip2_b16_384,384,61,EvidenceMem v2 selection fused,0.2,1.0484280589178354,0.2488392602083078,0.5723257775908811,0.03384848772516473,0.9659809635634405,0.9036363636363637,0.9755197853789404,0.008684816745388986
siglip2_b16_384,384,61,EvidenceMem v4 global fusion,1.0,0.4607514234253584,0.4607514234253584,0.024461898096907013,0.024461898096907013,0.7073940740531434,0.9054545454545454,0.9819277108433735,0.017409560345115347
siglip2_b16_384,384,61,EvidenceMem v4 class-conditional visual,0.2,0.6161991967361089,0.17912762701233195,0.3528814424820057,0.021581650550675475,0.9124922720217571,0.8987878787878788,0.9838165879973028,0.0045764286766740245
siglip2_b16_384,384,61,EvidenceMem v4 fixed fusion,0.2,0.6161991967361089,0.17912762701233195,0.3528814424820057,0.021581650550675475,0.9124922720217571,0.8987878787878788,0.9838165879973028,0.0045764286766740245
siglip2_b16_384,384,61,EvidenceMem v4 continuous fusion,0.2,0.6161991967361089,0.17912762701233195,0.3528814424820057,0.021581650550675475,0.9124922720217571,0.8987878787878788,0.9838165879973028,0.0045764286766740245
siglip2_b16_384,384,61,Tip-Adapter (matched cache),1.0,0.324873620465404,0.324873620465404,0.042110729639275674,0.042110729639275674,0.8337682854599766,0.8984848484848484,0.954468802698145,0.015372863311254186
