method,seed,encoder_key,resolution,evaluation_stage,evaluation_split,n,accuracy,balanced_accuracy,macro_f1,nll,brier,ece_15,ece_15_uncalibrated,nll_uncalibrated,aurc,temperature,confidence_threshold_90pct_validation_coverage,selective_coverage,selective_accuracy,stored_examples,budget_per_class,selected_alpha,selected_k,selected_class_k,selected_reliability_power,global_neighbor_label_precision_at_k,query_reliability_mean,text_weight_mean,inference_ms_per_query
Full kNN,43,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9590909090909091,0.959090909090909,0.9588246483419222,0.35758902917307667,0.06287429833280521,0.011950978386985587,0.011950978386985587,0.35758902917307667,0.010821963554657778,1.0,0.8185022265047955,0.9054545454545454,0.9886211512717537,13200,,,10.0,,,,,,0.10257441060606322
Linear probe,43,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9666666666666667,0.9666666666666668,0.966588928283148,0.11041394655416507,0.05048357042902896,0.011819357118448323,0.011819357118448323,0.11041394655416507,0.0019480554311093043,1.0,0.8720905016784811,0.896969696969697,0.9949324324324325,0,,,,,,,,,0.0024213203030078807
Random memory fused,43,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9324242424242424,0.9324242424242424,0.931307942145359,0.24277943660831125,0.1074812719190353,0.03012714594346703,0.5764307965913068,1.0901202983650213,0.008969459262564414,0.2,0.8832959328854498,0.9024242424242425,0.9697783747481531,440,40.0,0.75,10.0,,,0.8303636363636364,,,0.022296715151517703
Centroid fused,43,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.8942424242424243,0.8942424242424242,0.8918249059675116,0.3261543507055099,0.15533567221637293,0.030246640536126954,0.6342360834663398,1.416974793267616,0.017738389590584318,0.15,0.7043591668604874,0.9015151515151515,0.9408403361344538,11,1.0,0.75,10.0,,,0.0999090909090909,,,0.012684096060514672
KMeans medoids fused,43,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9451515151515152,0.9451515151515152,0.9445873448163806,0.1888568968788262,0.08396484551334388,0.024498377270642545,0.5836439403384194,1.0629210027013196,0.006314288286388911,0.2,0.9230900283237938,0.9054545454545454,0.9795850066934404,440,40.0,0.75,10.0,,,0.8587878787878788,,,0.02161096666675417
Facility selection (no reliability) fused,43,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9484848484848485,0.9484848484848485,0.9478910954818052,0.17334103506576812,0.07902390462483552,0.020426844511450805,0.5874642026575064,1.0609348710765154,0.005223538897504717,0.2,0.9174141079880911,0.9096969696969697,0.980346435709527,440,40.0,0.75,10.0,,,0.8557272727272728,,,0.018878626969622433
EvidenceMem v2 selection fused,43,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9403030303030303,0.9403030303030305,0.9394221336907045,0.2605468637019689,0.10246360278739228,0.03918201042789512,0.5696419211411671,1.050056727661227,0.008927751012216798,0.2,0.9657708747932889,0.9036363636363637,0.9738430583501007,440,40.0,0.75,5.0,,,0.900060606060606,,,0.0234491484847736
EvidenceMem v4 global fusion,43,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9487878787878787,0.9487878787878788,0.9481704139790869,0.20636630789051447,0.08137068081714573,0.05337198769314705,0.40537784814723843,0.6685153116800101,0.005190094032439584,0.5,0.7225495794740916,0.9078787878787878,0.9803070761014686,440,40.0,0.5,10.0,,,0.8557272727272728,,,0.01989292878781932
EvidenceMem v4 class-conditional visual,43,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9509090909090909,0.950909090909091,0.9503475473773508,0.1737881087120294,0.07748642862856278,0.017029275993182633,0.3798181608037018,0.6552665698080323,0.004636484281296953,0.2,0.8886483325131469,0.9057575757575758,0.9809300769488123,440,40.0,,,5.0,0.5,0.8557272727272728,0.8844338059425354,0.0,0.060216335454600936
EvidenceMem v4 fixed fusion,43,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9521212121212121,0.952121212121212,0.9515456581600944,0.16033119468858487,0.07509134422965986,0.01616042349013858,0.47921616800245365,0.8292905492705038,0.004440025599104681,0.2,0.8624153657393017,0.9036363636363637,0.9818913480885312,440,40.0,,,5.0,0.5,0.8557272727272728,0.8844338059425354,0.25,0.060216335454600936
EvidenceMem v4 continuous fusion,43,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9521212121212121,0.952121212121212,0.9515456581600944,0.16033119468858487,0.07509134422965986,0.01616042349013858,0.47921616800245365,0.8292905492705038,0.004440025599104681,0.2,0.8624153657393017,0.9036363636363637,0.9818913480885312,440,40.0,,,5.0,0.5,0.8557272727272728,0.8844338059425354,0.25,0.060216335454600936
Tip-Adapter (matched cache),43,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.916060606060606,0.916060606060606,0.9139213431075768,0.31031827615714325,0.13197802829542732,0.04050911675528362,0.04050911675528362,0.31031827615714325,0.014496244853688762,1.0,0.8083214867117957,0.8978787878787878,0.9537630779615255,440,40.0,,,,,0.8303636363636364,,,0.006803812121192591
CLIP zero-shot,61,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.8796969696969696,0.8796969696969696,0.8769375934790692,0.7524928427365811,0.32103319356568544,0.324947961624787,0.7839846189837093,2.348580033338351,0.048430636081381775,0.02,0.3060153116683117,0.8984848484848484,0.9143338954468803,0,,,,,,,,,0.0
Full kNN,61,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9590909090909091,0.959090909090909,0.9588246483419222,0.35758902917307667,0.06287429833280521,0.011950978386985587,0.011950978386985587,0.35758902917307667,0.010821963554657778,1.0,0.8185022265047955,0.9054545454545454,0.9886211512717537,13200,,,10.0,,,,,,0.10257441060606322
Linear probe,61,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9666666666666667,0.9666666666666668,0.966588928283148,0.11041394655416507,0.05048357042902896,0.011819357118448323,0.011819357118448323,0.11041394655416507,0.0019480554311093043,1.0,0.8720905016784811,0.896969696969697,0.9949324324324325,0,,,,,,,,,0.0024213203030078807
Random memory fused,61,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.923939393939394,0.9239393939393938,0.9232143333018744,0.2955806111787569,0.12483239709475634,0.04338095575798401,0.5615870526307443,1.0804901651479228,0.01070704805069967,0.2,0.910360138418479,0.8984848484848484,0.9639123102866779,440,40.0,0.75,5.0,,,0.8643636363636363,,,0.022914943636378943
Centroid fused,61,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.8942424242424243,0.8942424242424242,0.8918249059675116,0.3261543507055099,0.15533567221637293,0.030246640536126954,0.6342360834663398,1.416974793267616,0.017738389590584318,0.15,0.7043591668604874,0.9015151515151515,0.9408403361344538,11,1.0,0.75,10.0,,,0.0999090909090909,,,0.01634315727270322
KMeans medoids fused,61,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9448484848484848,0.9448484848484849,0.9441673663582351,0.184930654803773,0.08426333855764197,0.02278560336687386,0.5845757446262486,1.0657235970264762,0.005617655622256031,0.2,0.8957817564435615,0.9127272727272727,0.9790836653386454,440,40.0,0.75,10.0,,,0.8543939393939394,,,0.01744401121220907
Facility selection (no reliability) fused,61,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9466666666666667,0.9466666666666668,0.9463131500338524,0.46076957801479507,0.08343459313555578,0.024461946415192788,0.024461946415192788,0.46076957801479507,0.01740431854500765,1.0,0.7060603176039848,0.9066666666666666,0.9816176470588235,440,40.0,0.0,5.0,,,0.8933939393939394,,,0.017979088787879762
EvidenceMem v2 selection fused,61,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9427272727272727,0.9427272727272729,0.9422379080378427,0.2488392602083078,0.09602317928824329,0.03384848772516473,0.5723257775908811,1.0484280589178354,0.008684816745388986,0.2,0.9659809635634405,0.9036363636363637,0.9755197853789404,440,40.0,0.75,5.0,,,0.9009090909090909,,,0.019909858484893586
EvidenceMem v4 global fusion,61,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9463636363636364,0.9463636363636364,0.9459909007060682,0.4607514234253584,0.08340646500221592,0.024461898096907013,0.024461898096907013,0.4607514234253584,0.017409560345115347,1.0,0.7073940740531434,0.9054545454545454,0.9819277108433735,440,40.0,0.0,5.0,,,0.8933939393939394,,,0.02014457030313541
EvidenceMem v4 class-conditional visual,61,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9463636363636364,0.9463636363636364,0.9459492045193667,0.17912762701233195,0.07910640283446048,0.021581650550675475,0.3528814424820057,0.6161991967361089,0.0045764286766740245,0.2,0.9124922720217571,0.8987878787878788,0.9838165879973028,440,40.0,,,3.0,2.0,0.8933939393939394,0.5484704375267029,0.0,0.061784999090901474
EvidenceMem v4 fixed fusion,61,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9463636363636364,0.9463636363636364,0.9459492045193667,0.17912762701233195,0.07910640283446048,0.021581650550675475,0.3528814424820057,0.6161991967361089,0.0045764286766740245,0.2,0.9124922720217571,0.8987878787878788,0.9838165879973028,440,40.0,,,3.0,2.0,0.8933939393939394,0.5484704375267029,0.0,0.061784999090901474
EvidenceMem v4 continuous fusion,61,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9463636363636364,0.9463636363636364,0.9459492045193667,0.17912762701233195,0.07910640283446048,0.021581650550675475,0.3528814424820057,0.6161991967361089,0.0045764286766740245,0.2,0.9124922720217571,0.8987878787878788,0.9838165879973028,440,40.0,,,3.0,2.0,0.8933939393939394,0.5484704375267029,0.0,0.061784999090901474
Tip-Adapter (matched cache),61,siglip2_b16_384,384,confirmatory,confirmatory,3300,0.9139393939393939,0.9139393939393939,0.9125496615432211,0.324873620465404,0.13260099212419713,0.042110729639275674,0.042110729639275674,0.324873620465404,0.015372863311254186,1.0,0.8337682854599766,0.8984848484848484,0.954468802698145,440,40.0,,,,,0.8294545454545454,,,0.006570230000100061
